Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         10.0.5.205      YES manual up                    up
GigabitEthernet0/1         10.1.5.2        YES manual up                    up
GigabitEthernet0/2         10.2.5.2        YES manual up                    up
GigabitEthernet0/3         unassigned      YES unset  up                    up
GigabitEthernet0/4         unassigned      YES unset  up                    up
GigabitEthernet0/5         unassigned      YES unset  up                    up
GigabitEthernet0/6         unassigned      YES unset  up                    up
GigabitEthernet0/7         10.0.0.1        YES manual up                    up
Loopback0                  10.255.255.205  YES manual up                    up
